# 中兴通讯 提交列表（纯文本视图）
# 共 252 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
ce238702 | 2026-02-05 | shenlin | perf vendor events riscv: fix lrw core PMU event mapping
9b184121 | 2024-06-05 | Björn Töpel | riscv: Enable DAX VMEMMAP optimization
4d1b8cb1 | 2024-06-05 | Björn Töpel | riscv: mm: Add support for ZONE_DEVICE
02e77a7b | 2024-06-05 | Björn Töpel | virtio-mem: Enable virtio-mem for RISC-V
fb7803cb | 2024-06-05 | Björn Töpel | riscv: Enable memory hotplugging for RISC-V
f34c4e6b | 2024-06-05 | Björn Töpel | riscv: mm: Take memory hotplug read-lock during kernel page table dump
b07b70f6 | 2024-06-05 | Björn Töpel | riscv: mm: Add memory hotplugging support
9fa0a32f | 2024-06-05 | Björn Töpel | riscv: mm: Add pfn_to_kaddr() implementation
8f8748c9 | 2024-06-05 | Björn Töpel | riscv: mm: Refactor create_linear_mapping_range() for memory hot add
94396bdd | 2024-06-05 | Björn Töpel | riscv: mm: Change attribute from __init to __meminit for page functions
e27f9f50 | 2024-06-05 | Björn Töpel | riscv: mm: Pre-allocate vmemmap/direct map/kasan PGD entries
7ee29f06 | 2024-06-05 | Björn Töpel | riscv: mm: Properly forward vmemmap_populate() altmap parameter
93fe47b1 | 2023-12-14 | Alexandre Ghiti | riscv: Use hugepage mappings for vmemmap
e1f957f8 | 2023-11-06 | Evan Green | RISC-V: Probe misaligned access speed in parallel
5753b821 | 2023-11-06 | Evan Green | RISC-V: Remove __init on unaligned_emulation_finish()
c9972b0e | 2023-10-04 | Clément Léger | riscv: add support for PR_SET_UNALIGN and PR_GET_UNALIGN
d6dafd76 | 2023-10-04 | Clément Léger | riscv: report misaligned accesses emulation to hwprobe
633b8adc | 2023-10-04 | Clément Léger | riscv: add support for sysctl unaligned_enabled control
9149ab3b | 2023-10-04 | Clément Léger | riscv: add floating point insn support to misaligned access emulation
9eed1d4b | 2023-10-04 | Clément Léger | riscv: report perf event for misaligned fault
045fa236 | 2023-10-04 | Clément Léger | riscv: add support for misaligned trap handling in S-mode
ee055a97 | 2026-01-17 | Lu Peng | riscv: defconfig: Enable more ACPI_APEI configs
af861a24 | 2025-07-23 | Ignacio Encinas | riscv: introduce asm/swab.h
dfd898b8 | 2026-01-07 | hu.yuye | riscv:defconfig:Enable PCIE_EDR
a08e4c60 | 2025-12-31 | Yunhui Cui | arch_topology: move parse_acpi_topology() to common code
26a8cbe3 | 2025-12-31 | Yicong Yang | arm64: topology: Support SMT control on ACPI based system
5d69c37c | 2025-12-31 | Yicong Yang | arch_topology: Support SMT control for OF based system
e83dfb5e | 2025-12-31 | Yicong Yang | cpu/SMT: Provide a default topology_is_primary_thread()
06bdacd0 | 2025-01-24 | Andy Shevchenko | serial: 8250_core: Remove unneeded ->iotype assignment
1e582822 | 2025-12-30 | hu.yuye | Revert "mango pci hack:broadcast when no MSI source known"
304a271b | 2025-12-22 | Clément Léger | riscv: uaccess: do not do misaligned accesses in get/put_user()
f5f84ab9 | 2025-12-22 | Alexandre Ghiti | riscv: make unsafe user copy routines use existing assembly routines
f1bb63e1 | 2025-12-22 | Jisheng Zhang | riscv: uaccess: use 'asm_goto_output' for get_user()
