# 算能 提交列表（纯文本视图）
# 共 98 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
6ee44dfe | 2025-01-08 | Jingyu Li | drivers: Add ACPI support for thead-c900-aclint-sswi
9a3592fb | 2024-10-31 | Inochi Amaoto | irqchip: Add T-HEAD C900 ACLINT SSWI driver
6ddb20d6 | 2024-10-31 | Inochi Amaoto | dt-bindings: interrupt-controller: Add T-HEAD C900 ACLINT SSWI device
9875f477 | 2024-02-14 | Michal Wajdeczko | lib/string_choices: Add str_plural() helper
e636a07e | 2024-01-18 | Sunil V L | ACPI: Enable ACPI_PROCESSOR for RISC-V
6a339749 | 2024-01-18 | Sunil V L | ACPI: RISC-V: Add LPI driver
d90ceee9 | 2025-04-22 | haijiao.liu | drivers: spi: Add ACPI support for Sophgo SPI Controller
ac7bb024 | 2025-04-22 | haijiao.liu | drivers: i2c: Add ACPI support for Sophgo I2C Controller
89acdb58 | 2025-05-07 | haijiao.liu | irqchip: Add Sophgo SG2044 MSI controller driver
a377d88f | 2025-04-16 | haijiao.liu | serial/8250_dw: Add ACPI ID for SG2044 UART
366450ef | 2023-10-18 | Sunil V L | RISC-V: cacheflush: Initialize CBO variables on ACPI systems
7aad7cd3 | 2023-10-18 | Sunil V L | RISC-V: ACPI: RHCT: Add function to get CBO block sizes
316941b8 | 2023-10-18 | Sunil V L | RISC-V: ACPI: Update the return value of acpi_get_rhct()
6150d6aa | 2023-10-18 | Sunil V L | RISC-V: ACPI: Enhance acpi_os_ioremap with MMIO remapping
94de5fed | 2023-09-27 | Sunil V L | clocksource/timer-riscv: ACPI: Add timer_cannot_wakeup_cpu
62d95a0b | 2024-10-14 | Sunil V L | irqchip/riscv-intc: Fix SMP=n boot with ACPI
cf04033c | 2024-08-27 | Sunil V L | irqchip/sifive-plic: Add ACPI support
40061497 | 2024-08-12 | Sunil V L | irqchip/riscv-aplic: Add ACPI support
094159ba | 2024-08-12 | Sunil V L | irqchip/riscv-imsic: Add ACPI support
94f7cff0 | 2024-08-12 | Sunil V L | irqchip/riscv-imsic-state: Create separate function for DT
33b7aaa0 | 2024-08-12 | Sunil V L | irqchip/riscv-intc: Add ACPI support for AIA
845c282e | 2024-08-12 | Sunil V L | ACPI: RISC-V: Implement function to add implicit dependencies
6b54fe32 | 2024-08-12 | Sunil V L | ACPI: RISC-V: Initialize GSI mapping structures
e7c58b03 | 2024-08-12 | Sunil V L | ACPI: RISC-V: Implement function to reorder irqchip probe entries
4aad6a5a | 2024-08-12 | Sunil V L | ACPI: RISC-V: Implement PCI related functionality
96f43935 | 2024-08-12 | Sunil V L | ACPI: pci_link: Clear the dependencies after probe
