# 超睿科技 提交列表（纯文本视图）
# 共 85 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
8b596b09 | 2026-01-13 | Jia Wang | dt-bindings: hwmon: ultrarisc,dp1000-pvt.yaml: add Add a blank line at the end of the file.
68d719b1 | 2026-01-08 | Jia Wang | riscv: dts: ultrarisc: remove 'bootargs' property in 'chosen'
5cc8a15a | 2026-01-06 | Jia Wang | riscv: dts: ultrarisc: Update pcie and gmac compatible strings
a9f2de2f | 2025-12-29 | Jia Wang | PCI: dwc: ultrarisc: Update compatible string for DP1000 SoC
622057ad | 2026-01-08 | Jia Wang | riscv: dts: ultrarisc: Add model and compatible properties
06c9f2a4 | 2026-01-08 | Jia Wang | riscv: dts: dp1000-titan-v1: add phy leds support
8ff83c4e | 2024-09-27 | Hui Wang | net: phy: realtek: Check the index value in led_hw_control_get
358fd57f | 2024-06-12 | Lee Jones | leds: core: Omit set_brightness error message for a LED supporting hw trigger only
9b139b64 | 2024-08-21 | Sava Jakovljev | net: phy: realtek: Fix setting of PHY LEDs Mode B bit on RTL8211F
0199803b | 2024-06-25 | Marek Vasut | net: phy: realtek: Add support for PHY LEDs on RTL8211F
87ef408c | 2024-01-31 | Heiner Kallweit | leds: triggers: Add helper led_match_default_trigger
81284ef2 | 2024-01-31 | Heiner Kallweit | leds: trigger: Stop exporting trigger_list
95238d78 | 2023-12-09 | Heiner Kallweit | leds: trigger: panic: Simplify led_trigger_set_panic
7ef67806 | 2025-03-17 | Craig McQueen | leds: led-triggers: Improvements for default trigger
37660133 | 2024-12-16 | Marek Vasut | leds: trigger: netdev: Check offload ability on interface up
ffec6be7 | 2024-01-11 | Christian Marangi | docs: ABI: sysfs-class-led-trigger-netdev: Document now hidable link_*
b5152f5c | 2024-01-11 | Christian Marangi | leds: trigger: netdev: Display only supported link speed attribute
20d44c28 | 2023-11-28 | Daniel Golle | docs: ABI: sysfs-class-led-trigger-netdev: Add new modes and entry
5e97e1d7 | 2023-11-28 | Daniel Golle | leds: trigger: netdev: Extend speeds up to 10G
4abf1da1 | 2023-12-22 | Heiner Kallweit | leds: class: If no default trigger is given, make hw_control trigger the default trigger
c1f22094 | 2023-12-21 | Heiner Kallweit | leds: trigger: netdev: Add module alias ledtrig:netdev
1e996098 | 2023-12-21 | Heiner Kallweit | leds: trigger: netdev: Skip setting baseline state in activate if hw-controlled
816dd3d6 | 2023-12-21 | Heiner Kallweit | leds: trigger: Load trigger modules on-demand if used as default trigger
7c9e9f06 | 2025-12-23 | Jia Wang | riscv: defconfig: Enable FW_LOADER_COMPRESS_ZSTD DRM_AMD_ACP and DRM_AMD_SECURE_DISPLAY
3f81c68d | 2025-12-22 | Jia Wang | dt-bindings: pinctrl: Rename pinctrl header ur-dp1000-pinctrl.h to ultrarisc,dp1000-pinctrl.h
09b1da99 | 2025-12-22 | Jia Wang | riscv: dts: ultrarisc: Fix naming inconsistencies in dp1000 files
27ff5e96 | 2025-12-18 | Jia Wang | riscv: defconfig: Enable COREPVT_ULTRARISC and GPIO_KEY
32a9ddbd | 2025-09-16 | Jia Wang | dt-bindings: hwmon: Add UltraRISC DP1000 Core PVT sensor binding
e6a65672 | 2025-12-18 | Jia Wang | hwmon: corepvt-ultrarisc: Add UltraRISC Core PVT sensor driver
2e55ddd5 | 2025-12-18 | Jia Wang | riscv: dts: ultrarisc: Update DP1000 series device tree files
af1988b4 | 2025-11-03 | Charles Mirabile | irqchip/sifive-plic: Fix call to __plic_toggle() in M-Mode code path
563ab61c | 2025-10-24 | Charles Mirabile | dt-bindings: interrupt-controller: Add UltraRISC DP1000 PLIC
9efa10af | 2025-10-24 | Charles Mirabile | irqchip/sifive-plic: Add support for UltraRISC DP1000 PLIC
24cfc0a7 | 2025-10-24 | Charles Mirabile | irqchip/sifive-plic: Cache the interrupt enable state
