# 软件所 提交列表（纯文本视图）
# 共 252 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
a8fb171e | 2025-12-11 | Mingzheng Xing | th1520-i2s: Fix kernel panic when reading sysfs registers
02d50086 | 2025-02-26 | Yunhui Cui | RISC-V: hwprobe: Expose Zicbom extension and its block size
6bc34119 | 2024-09-13 | Miquel Sabaté Solà | riscv: hwprobe: export Zicntr and Zihpm extensions
e101b4b3 | 2024-12-24 | Quan Zhou | RISC-V: KVM: Redirect instruction access fault trap to guest
b0b16d0e | 2023-10-05 | Benjamin Tissoires | selftests/hid: force using our compiled libbpf headers
964d10c3 | 2023-10-05 | Benjamin Tissoires | selftests/hid: do not manually call headers_install
c9fd1c72 | 2023-10-05 | Benjamin Tissoires | selftests/hid: ensure we can compile the tests on kernels pre-6.3
dfe5729e | 2024-12-02 | Quan Zhou | RISC-V: KVM: Allow Ziccrse extension for Guest/VM
1f51f7be | 2024-12-02 | Quan Zhou | RISC-V: KVM: Allow Zabha extension for Guest/VM
7df8d155 | 2024-12-02 | Quan Zhou | RISC-V: KVM: Allow Svvptc extension for Guest/VM
eef4ae99 | 2023-10-12 | Björn Töpel | riscv, qemu_fw_cfg: Add support for RISC-V architecture
63fd6635 | 2025-08-19 | Yafen Fang | xuantie: nna: select SYNC_FILE
d82ab91d | 2024-02-22 | Yu Chien Peter Lin | riscv: errata: Rename defines for Andes
f8599ba5 | 2024-11-03 | Alexandre Ghiti | riscv: Move cpufeature.h macros into their own header
5d36b008 | 2024-07-19 | Charlie Jenkins | riscv: cpufeature: Extract common elements from extension checking
544ceb83 | 2024-07-19 | Charlie Jenkins | riscv: Introduce vendor variants of extension helpers
5d8ab77d | 2024-07-17 | Conor Dooley | RISC-V: hwprobe: sort EXT_KEY()s in hwprobe_isa_ext0() alphabetically
a63ff926 | 2024-10-16 | Samuel Holland | riscv: hwprobe: Export the Supm ISA extension
8214dc1f | 2024-07-02 | Palmer Dabbelt | RISC-V: Provide the frequency of time CSR via hwprobe
722884d7 | 2024-04-26 | Andrew Jones | riscv: hwprobe: export Zawrs ISA extension
5200eace | 2024-04-10 | Clément Léger | riscv: hwprobe: export highest virtual userspace address
fd4292df | 2024-06-19 | Clément Léger | riscv: hwprobe: export Zcmop ISA extension
bc96f196 | 2024-06-19 | Clément Léger | riscv: hwprobe: export Zca, Zcf, Zcd and Zcb ISA extensions
eed69c1b | 2024-06-19 | Clément Léger | riscv: hwprobe: export Zimop ISA extension
926178ae | 2024-05-10 | Andy Chiu | riscv: hwprobe: add zve Vector subextensions into hwprobe interface
91374f60 | 2024-02-21 | Clément Léger | riscv: hwprobe: export Zihintpause ISA extension
40cb79dd | 2023-11-22 | Andrew Jones | RISC-V: Move the hwprobe syscall to its own file
