# 进迭时空 提交列表（纯文本视图）
# 共 134 个提交
# 生成时间: 2026-03-09 21:51:52
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
cf295866 | 2026-02-04 | Zhang Meng | driver: clk: k3: keep some system based clock always on
9a5a1e92 | 2026-01-21 | Zhang Meng | riscv: k3: config: enable some modules for spacemit k3
17cfae9b | 2026-01-21 | Zhang Meng | riscv: defconfig: make CONFIG_REGULATOR_FIXED_VOLTAGE builtin
5398741e | 2026-01-21 | Zhang Meng | riscv: dts: k3: enable sdhci support
89d2c4aa | 2026-01-21 | Zhang Meng | mmc: k1: update driver for spacemit k3 supporting
ac51d6f7 | 2026-01-21 | Zhang Meng | riscv: dts: k3: enable ethernet for spacemit k3
58a5de41 | 2026-01-21 | Zhang Meng | net: k3: support emac controller in spacemit k3 soc
041da1b2 | 2026-01-21 | Zhang Meng | riscv: dts: k3: add pmic and power tree support
be38c7d5 | 2026-01-21 | Zhang Meng | riscv: dts: k3: add board Com260-Kit of spacemit support
61f7d861 | 2026-01-21 | Zhang Meng | riscv: dts: k3: add i2cs description for spacemit k3
44d607d3 | 2026-01-21 | Zhang Meng | riscv: dts: k3: add gpio description for spacemit k3
eafcaa3c | 2026-01-21 | Zhang Meng | gpio: k3: add k3 gpio support
8e6089ee | 2026-01-21 | Zhang Meng | riscv: dts: k3: add pinctrl description
192a35b3 | 2026-01-21 | Zhang Meng | pinctrl: k3: add k3 pinctrl support
20e44f1e | 2026-01-21 | Zhang Meng | driver: reset: fix issues in the k3 reset
0996626d | 2026-01-21 | Zhang Meng | riscv: dts: k3: fix issues in clock defines
50848234 | 2026-01-21 | Zhang Meng | driver: clk: fix issues in the clock driver
3821fc3f | 2026-01-21 | Zhang Meng | dt-bindings: soc: spacemit: fix errors in clocks define
da62fc96 | 2026-01-19 | zhangmeng | riscv: dts: Fix the clock missing issue
12a8bba9 | 2026-01-19 | zhangmeng | mmc: k1: fix the bug that mmc driver is mismatched with clk driver
63c3bfbc | 2026-01-19 | zhangmeng | i2c: k1: fix clk driver mismatch issue
73c75fd3 | 2026-01-19 | zhangmeng | gpio: k1: fix clk driver mismatch issue
aa734f47 | 2026-01-19 | zhangmeng | pinctrl: k1: fix clk driver mismatch issue
7e1e9ad9 | 2025-11-28 | Zhang Meng | riscv: defconfig: enable spacemit k3 soc
d3c0491f | 2025-11-26 | Zhang Meng | riscv: dts: enable uart0 for spacemit k3
531cb5e2 | 2025-11-26 | Zhang Meng | riscv: dts: add clock tree related representations
74d397d1 | 2025-11-26 | Zhang Meng | riscv: k3: config: enable clock and reset for spacemit k3
5552d404 | 2025-11-26 | Zhang Meng | reset: spacemit: add support for SpacemiT K3 CCU resets
85104ef4 | 2025-11-26 | Zhang Meng | driver: clk: add spacemit k3 clk driver support
60b274f5 | 2025-11-25 | Zhang Meng | riscv: k3: add spacemit k3 soc support
4e7c5cbf | 2025-11-26 | Zhang Meng | driver: clk: use the mainline clock and reset driver for spacemit k1
a2756489 | 2025-07-02 | Alex Elder | reset: spacemit: add support for SpacemiT CCU resets
a67e7f83 | 2025-09-11 | Troy Mitchell | clk: spacemit: fix i2s clock
232d1aea | 2025-09-11 | Troy Mitchell | dt-bindings: clock: spacemit: introduce i2s pre-clock to fix i2s clock
1275a8bd | 2025-08-11 | Brian Masney | clk: spacemit: ccu_pll: convert from round_rate() to determine_rate()
647e6ba0 | 2025-08-11 | Brian Masney | clk: spacemit: ccu_mix: convert from round_rate() to determine_rate()
a93d8865 | 2025-08-11 | Brian Masney | clk: spacemit: ccu_ddn: convert from round_rate() to determine_rate()
60d749ba | 2025-08-11 | Troy Mitchell | clk: spacemit: fix sspax_clk
5e47c8cd | 2025-08-11 | Troy Mitchell | dt-bindings: clock: spacemit: CLK_SSPA_I2S_BCLK for SSPA
5e7e2bfc | 2025-07-23 | Akhilesh Patil | clk: spacemit: ccu_pll: fix error return value in recalc_rate callback
d00402be | 2025-06-12 | Alex Elder | clk: spacemit: mark K1 pll1_d8 as critical
f7a7c9e0 | 2025-07-02 | Alex Elder | clk: spacemit: define three reset-only CCUs
52d15153 | 2025-07-02 | Alex Elder | clk: spacemit: set up reset auxiliary devices
aa07e423 | 2025-07-02 | Alex Elder | soc: spacemit: create a header for clock/reset registers
02188555 | 2025-07-02 | Alex Elder | dt-bindings: soc: spacemit: define spacemit,k1-ccu resets
2704d6d3 | 2025-04-16 | Haylen Chu | clk: spacemit: k1: Add TWSI8 bus and function clocks
e5776343 | 2025-04-16 | Haylen Chu | clk: spacemit: Add clock support for SpacemiT K1 SoC
5457ef6a | 2025-04-16 | Haylen Chu | dt-bindings: clock: spacemit: Add spacemit,k1-pll
d7ce41d7 | 2025-04-16 | Haylen Chu | dt-bindings: soc: spacemit: Add spacemit,k1-syscon
1d7eb0f8 | 2025-11-24 | Zhang Meng | driver: clk: remove the obsolete clk driver of spacemit k1
e6d13d1e | 2025-11-24 | Zhang Meng | riscv: defconfig: enable CONFIG_RISCV_ISA_ZICBOM for support non-coherent dma
b6985d95 | 2025-11-24 | Zhang Meng | riscv: defconfig: unified naming for k1 chip
c0fd332b | 2025-11-24 | Zhang Meng | riscv: kconfig: unified naming for k1 chip
a63533da | 2025-11-22 | Zhang Meng | riscv: kconfig.socs: delete the unused k1x definition
8abfb4ea | 2025-11-23 | Zhang Meng | riscv: dts: unified naming for k1 chip
30f149f2 | 2025-11-23 | Zhang Meng | driver: ethernet: unified naming for k1 chip
a5379958 | 2025-11-23 | Zhang Meng | driver: dma: unified naming for k1 chip
328efb91 | 2025-11-23 | Zhang Meng | driver: i2c: unified naming for k1 chip
8e7ec3a9 | 2025-11-23 | Zhang Meng | driver: spi: unified naming for k1 chip
5b71b293 | 2025-11-22 | Zhang Meng | driver: gpio: Unified naming for k1 chip
ceb5dde4 | 2025-11-22 | Zhang Meng | driver: pinctrl: Unified naming for k1 chip
461e6419 | 2025-11-22 | Zhang Meng | driver: reset: Unified naming for k1 chip
269bab2d | 2025-11-22 | Zhang Meng | driver: clk: Unified naming for k1 chip
95134a87 | 2025-11-22 | Zhang Meng | riscv: k1: dts: change uart driver to 8250_of with compaible 'intel,xscale-uart'
9e14dad1 | 2025-11-22 | Zhang Meng | serial: k1: remove k1 uart driver
1d8d9329 | 2025-04-11 | Alex Elder | serial: 8250_of: manage bus clock in suspend/resume
441f02b2 | 2025-04-09 | Alex Elder | serial: 8250_of: add support for an optional bus clock
d06c55e9 | 2025-01-24 | Andy Shevchenko | serial: 8250_of: Remove unneeded ->iotype assignment
41c2e94c | 2024-04-05 | Bastien Curutchet | serial: 8250_of: Add clock_notifier
2dcc28d8 | 2024-03-04 | Andy Shevchenko | serial: 8250_of: Switch to use uart_read_port_properties()
9af81d7d | 2024-02-15 | Andy Shevchenko | serial: 8250_of: Drop quirk fot NPCM from 8250_port
e19a2600 | 2023-09-19 | Andy Shevchenko | serial: 8250_of: Use devm_clk_get_enabled()
019be079 | 2023-09-12 | Andy Shevchenko | serial: 8250_of: Use dev_err_probe() instead of dev_warn()
c1860fe6 | 2025-08-26 | zhangmeng | riscv: k1: dts: enable eth0/eth1 for bananapi f3 board
67c7ecbe | 2025-08-26 | zhangmeng | riscv: config: enable emac driver for spacemit k1
10279dd8 | 2025-08-26 | zhangmeng | riscv: k1: dts: add emacs controllers support for spacemit k1
21369648 | 2025-08-26 | zhangmeng | net: k1: support emac controller in spacemit k1 soc
39912d3b | 2025-08-25 | zhangmeng | riscv: k1: dts: enable sdhci-0/1/2 for bananapi f3 board
7aef01a6 | 2025-08-25 | zhangmeng | riscv: config: enable sdhci driver for spacemit k1
3c105abd | 2025-08-25 | zhangmeng | riscv: k1: dts: add sdhci controller support for spacemit k1
85dde21f | 2025-08-25 | zhangmeng | mmc: sdhci-of-k1: add support for SpacemiT K1 SoC
df0febb7 | 2025-08-25 | zhangmeng | dt-bindings: mmc: spacemit,sdhci: add support for K1 SoC
2cab3e54 | 2025-08-24 | zhangmeng | driver: k1/spi: Fixed compilation errors reported when enable CONFIG_PM_SLEEP
fc1b4907 | 2025-05-28 | zhangmeng | riscv: config: enable CONFIG_RISCV_ISA_ZICBOM for spacemit k1
57e2f6f3 | 2025-05-20 | zhangmeng | riscv: config: enable spacemit p1 driver for spacemit k1
16e7fb6e | 2025-05-21 | zhangmeng | riscv: dts: add spacemit p1 pmic support for bananapi f3
1f9ffd53 | 2025-05-20 | zhangmeng | driver: iio/adc: add spacemit p1 adc driver support
65e80021 | 2025-05-20 | zhangmeng | driver: rtc: add spacemit p1 rtc driver support
72f6e4f7 | 2025-05-19 | zhangmeng | driver: pinctrl: add spacemit p1 pinctrl driver support
5852c5e7 | 2025-05-19 | zhangmeng | driver: input: add spacemit p1 key driver support
32f8b344 | 2025-05-19 | zhangmeng | driver: regulator: add spacemit p1 regulator driver support
79d8be43 | 2025-05-19 | zhangmeng | driver: mfd: add spacemit p1 mfd driver support
