# 阿里达摩院 提交列表（纯文本视图）
# 共 286 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
3f6c3b96 | 2024-04-20 | Atish Patra | KVM: riscv: selftests: Add commandline option for SBI PMU test
fa8f8925 | 2024-04-20 | Atish Patra | KVM: riscv: selftests: Add a test for counter overflow
6466d407 | 2024-04-20 | Atish Patra | KVM: riscv: selftests: Add a test for PMU snapshot functionality
fe1f0306 | 2024-04-20 | Atish Patra | KVM: riscv: selftests: Add SBI PMU selftest
75ed2110 | 2024-04-20 | Atish Patra | KVM: riscv: selftests: Add SBI PMU extension definitions
adccfde0 | 2024-04-20 | Atish Patra | KVM: riscv: selftests: Add Sscofpmf to get-reg-list test
ec6fea9f | 2024-04-20 | Atish Patra | KVM: riscv: selftests: Add helper functions for extension checks
2e1d1a90 | 2024-04-20 | Atish Patra | KVM: riscv: selftests: Move sbi definitions to its own header file
f3ddd448 | 2024-01-22 | Haibo Xu | KVM: riscv: selftests: Add sstc timer test
9bfff5b2 | 2024-01-22 | Haibo Xu | KVM: riscv: selftests: Change vcpu_has_ext to a common function
462e9a25 | 2024-01-22 | Haibo Xu | KVM: riscv: selftests: Add guest helper to get vcpu id
f254d203 | 2024-01-22 | Haibo Xu | KVM: riscv: selftests: Add exception handling support
40ba2e1b | 2024-01-22 | Haibo Xu | KVM: arm64: selftests: Split arch_timer test code
eba842cd | 2024-01-22 | Paolo Bonzini | selftests/kvm: Fix issues with $(SPLIT_TESTS)
27dead85 | 2024-04-20 | Atish Patra | RISC-V: KVM: Improve firmware counter read function
aa03ab4c | 2024-04-20 | Atish Patra | RISC-V: KVM: Support 64 bit firmware counters on RV32
4f11b5ec | 2024-04-20 | Atish Patra | RISC-V: KVM: Add perf sampling support for guests
f5920821 | 2024-04-20 | Atish Patra | RISC-V: KVM: Implement SBI PMU Snapshot feature
ab804ada | 2024-04-20 | Atish Patra | RISC-V: KVM: No need to exit to the user space if perf event failed
39af33ea | 2024-04-20 | Atish Patra | RISC-V: KVM: No need to update the counter value during reset
d036fe90 | 2024-04-20 | Atish Patra | drivers/perf: riscv: Implement SBI PMU snapshot function
5cb4ee92 | 2024-04-20 | Atish Patra | drivers/perf: riscv: Fix counter mask iteration for RV32
616a61da | 2024-04-20 | Atish Patra | RISC-V: Use the minor version mask while computing sbi version
3661911b | 2024-04-20 | Atish Patra | RISC-V: KVM: Rename the SBI_STA_SHMEM_DISABLE to a generic name
7f18543b | 2024-04-20 | Atish Patra | RISC-V: Add SBI PMU snapshot definitions
4beb1ffa | 2024-04-20 | Atish Patra | drivers/perf: riscv: Use BIT macro for shifting operations
07c98a5b | 2024-04-20 | Atish Patra | drivers/perf: riscv: Read upper bits of a firmware counter
8a5c8051 | 2024-04-20 | Atish Patra | RISC-V: Add FIRMWARE_READ_HI definition
c1a655b2 | 2024-04-20 | Atish Patra | RISC-V: Fix the typo in Scountovf CSR name
8dfb859a | 2023-12-20 | Andrew Jones | RISC-V: KVM: selftests: Add get-reg-list test for STA registers
d29a53bd | 2023-12-20 | Andrew Jones | RISC-V: KVM: selftests: Add steal_time test support
8e825f9e | 2023-12-20 | Andrew Jones | RISC-V: KVM: selftests: Add guest_sbi_probe_extension
